# bin_centers,CoVs,smoothed_CoVs,FAPs
1.000000000000000000e+00,1.213323576773490453e+00,9.896216938999012891e-01,1.508249999999999869e+00
1.044499999999999984e+00,1.061699629508722653e+00,9.815454046342590999e-01,1.491562499999999902e+00
1.090505108833096148e+00,1.037481320845843991e+00,9.681500081316750661e-01,1.485999999999999988e+00
1.138050407211647741e+00,9.240991691083028092e-01,9.641097971346838102e-01,1.479203124999999952e+00
1.187171429414751067e+00,9.272124768593980049e-01,9.582542353942332669e-01,1.474671875000000076e+00
1.237904164479566527e+00,8.672899345679646599e-01,9.543676651283424794e-01,1.470140624999999979e+00
1.290285057382969836e+00,8.962457496355855646e-01,9.485032186922019992e-01,1.463343749999999943e+00
1.344351010213705511e+00,9.250113797747649969e-01,9.437180552881857531e-01,1.458812500000000068e+00
1.400139383335213816e+00,8.609868361110034618e-01,9.297135377238651133e-01,1.454281249999999970e+00
1.457687996539299258e+00,9.277478981617616194e-01,9.265548509729649718e-01,1.447484374999999934e+00
1.517035130190802938e+00,8.996986179897278335e-01,9.042288643829893280e-01,1.442953125000000059e+00
1.578219526363437542e+00,9.116153922035429291e-01,8.977705400180260309e-01,1.436156250000000023e+00
1.641280389966939035e+00,8.781298614585163476e-01,8.961746399242154215e-01,1.431624999999999925e+00
1.706257389865684537e+00,8.815109310359743322e-01,9.036471423478298348e-01,1.424828124999999890e+00
1.773190659988923557e+00,8.342211049061540873e-01,9.116490060558538611e-01,1.418031250000000076e+00
1.842120800432762273e+00,8.291427246410874030e-01,9.201359901688573872e-01,1.411234375000000041e+00
1.913088878554042971e+00,8.760158629585621526e-01,9.283744773156301644e-01,1.406703124999999943e+00
1.986136430056249402e+00,8.337818047439058411e-01,9.363925253957582351e-01,1.399906249999999908e+00
2.061305460067572870e+00,9.519081153043464916e-01,9.456772607583727730e-01,1.395375000000000032e+00
2.138638444211265366e+00,1.010351019251064963e+00,9.515324170603105536e-01,1.388578124999999996e+00
2.218178329668404114e+00,1.051131710309746392e+00,9.615605475652941880e-01,1.379515625000000023e+00
2.299968536233190530e+00,1.063244159895808449e+00,9.722006809988494869e-01,1.372718749999999988e+00
2.384052957360903058e+00,1.011568664489022051e+00,9.833264471663725192e-01,1.365921874999999952e+00
2.470475961208616233e+00,1.036300031130723998e+00,9.937079914796614899e-01,1.356859374999999979e+00
2.559282391668802781e+00,1.061318197136940755e+00,1.008598846473383492e+00,1.352328124999999881e+00
2.650517569395927531e+00,1.018827337275451494e+00,1.023004917883766351e+00,1.343265624999999908e+00
2.744227292826139752e+00,1.027285555294702446e+00,1.032642258129226498e+00,1.339218749999999902e+00
2.840457839190170031e+00,1.070176836574450396e+00,1.047442143209354581e+00,1.335656249999999989e+00
2.939255965519536051e+00,1.092497660573982010e+00,1.055812802431431496e+00,1.332984374999999888e+00
3.040668909646152773e+00,1.067267886306408897e+00,1.061165355576061620e+00,1.329421874999999975e+00
3.144744391195450461e+00,1.057997184361886722e+00,1.062895912176218483e+00,1.325859375000000062e+00
3.251530612573092949e+00,1.087365639799430017e+00,1.063575501550220626e+00,1.323187499999999961e+00
3.361076259945389388e+00,1.074045938617597340e+00,1.068699949726503506e+00,1.318734375000000014e+00
3.473430504213492753e+00,1.039850647131382866e+00,1.070408123957912183e+00,1.316062499999999913e+00
3.588643001981473901e+00,1.085379851106083704e+00,1.071326207242100370e+00,1.312500000000000000e+00
3.706763896518356916e+00,1.094209322079657598e+00,1.072995894575573761e+00,1.308937500000000087e+00
3.827843818714204538e+00,1.101344422709773285e+00,1.071310997610200433e+00,1.305374999999999952e+00
3.951933888030332298e+00,1.080551172512416613e+00,1.067165111317370796e+00,1.301812500000000039e+00
