# freq_centers,unsmoothed_acf,smoothed_acf
1.001187283414242346e+00,1.242083757898308511e-03,4.236316243639260196e-03
1.025233266203667393e+00,3.561052041625062652e-03,4.367776503499831535e-03
1.053651245863896913e+00,4.266965155662646135e-03,4.120263107091108427e-03
1.079883227088724196e+00,4.033251489121508770e-03,3.628864409543535677e-03
1.108301206748953938e+00,4.629367900561489647e-03,3.705788036075029473e-03
1.138905184844585694e+00,4.134830825014109042e-03,3.732092646073220318e-03
1.167323164504815214e+00,2.352361073385034890e-03,3.904971229344641071e-03
1.200113141035849429e+00,5.279648022876599336e-04,3.549226307259484726e-03
1.228531120696078949e+00,3.609836311001489266e-03,3.051975690020055157e-03
1.259135098791710927e+00,3.347046287241991699e-03,2.575524978077817564e-03
1.291925075322745142e+00,2.531474445870672118e-03,2.251891366447454201e-03
1.324715051853779135e+00,9.077783905453335215e-04,1.852008845070096405e-03
1.359691026820215587e+00,5.582911063709910474e-04,1.699071519581098980e-03
1.392481003351249802e+00,4.797106188124562460e-04,1.850071318868156496e-03
1.427456978317686254e+00,2.215591958772891203e-03,1.909138524407640470e-03
1.460246954848720247e+00,1.152363074585087237e-03,1.703168963242710767e-03
1.495222929815156698e+00,1.922350753769961945e-04,1.925217231766244985e-03
1.532384903216995387e+00,2.673640032622748818e-03,2.047907056548224723e-03
1.571732875054236533e+00,2.970317147474726971e-03,2.830211046094897875e-03
1.606708850020672763e+00,2.890914816662904039e-03,3.100794609669117741e-03
1.646056821857913688e+00,2.910927029198981993e-03,3.460816579122567415e-03
1.683218795259752376e+00,3.099506568223164837e-03,3.739546988465354549e-03
1.724752765532395538e+00,4.423333887496473660e-03,4.068713094178970889e-03
1.764100737369636462e+00,4.467482112227038477e-03,3.972686898548975255e-03
1.807820706077682082e+00,4.440074666398667602e-03,3.856999441698877838e-03
1.849354676350325466e+00,3.428839213128385098e-03,3.836674581418603354e-03
1.890888646622968627e+00,3.439121944344966653e-03,3.917100814777137868e-03
1.934608615331014025e+00,2.892778276385316472e-03,3.881977342280527269e-03
1.980514582474461882e+00,1.885822316199364541e-03,3.370613213822493300e-03
2.024234551182507502e+00,2.021194593191182401e-03,3.016479078547885505e-03
2.070140518325954915e+00,2.724165682142071741e-03,2.959161549988179648e-03
2.116046485469402771e+00,3.570759599773745598e-03,3.098945807853490785e-03
