# numax,numax_err
25.6922,3.8165
26.3294,5.1604
27.3448,7.4812
25.5288,3.9110
26.3546,5.2424
27.3753,7.3056
26.1447,4.5546
26.9539,5.6984
27.8092,7.5890
25.6956,3.7703
26.2839,5.1186
27.2040,7.1209
25.6327,3.9385
26.4146,5.2383
27.3551,7.2033
26.0715,4.4314
26.8458,5.6250
27.7605,7.5754
25.6284,3.7955
26.2544,5.0935
27.2997,7.3782
25.7190,3.9641
26.4199,5.2442
27.4195,7.3361
26.1588,4.6235
26.6706,5.5843
27.5779,7.4063
25.6753,3.7761
26.2775,5.1179
27.3143,7.3562
25.7839,4.0291
26.3935,5.2560
27.4107,7.3325
26.1913,4.5191
26.8182,5.6221
27.6812,7.3699
