# numax,numax_err
26.3956,2.6516
26.7198,4.6171
28.1744,6.8001
26.1938,2.7195
26.6878,4.6874
28.0280,6.7861
26.0545,3.0779
26.9265,4.7099
28.1275,6.7603
26.1047,3.1759
26.9971,5.2710
28.0403,6.6562
26.3306,2.6655
27.7994,3.5666
28.2216,6.7961
26.4258,2.7087
26.6163,4.5764
27.9199,6.6890
26.3723,2.8683
26.9016,4.7927
28.2153,6.8680
26.6037,3.2557
27.1212,4.9354
28.2440,6.8433
26.3665,2.7864
28.0142,3.7987
28.1437,6.7804
26.4414,2.7746
26.6866,4.6385
28.1237,6.8141
26.5548,3.2090
26.5774,4.5838
27.9780,6.8183
26.4528,3.3961
27.0620,4.9332
28.3513,6.9554
26.3707,2.7754
27.9214,3.6644
28.1318,6.7703
26.4704,2.8187
26.6896,4.6076
28.0940,6.7921
26.5703,3.0791
26.8163,4.7172
28.1424,6.8310
26.1201,3.3670
26.7491,4.7870
28.1242,6.8730
